"Source Name",URL,"Date Accessed","Referrer URL",Title,"Program Name",Domain,Username,"Data Source"
History,"file:///C:/Users/jcloudy/OneDrive/Getting%20started%20with%20OneDrive.pdf","2018-03-27 15:21:20 IST","file:///C:/Users/jcloudy/OneDrive/Getting%20started%20with%20OneDrive.pdf","Getting Started with OneDrive","Google Chrome",,Default,LoneWolf.E01
History,"https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000006-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid+profile&state=OpenIdConnect.AuthenticationProperties%3dGu-pVjMrxhokQ3b6eqTx0tzVinXpFqpCbbt8ULCnVq_uUkLoOq0l6wSEzAjnJnqtF6o_ibERWbtpVHcjlPwHGDs4qMCx4TPfTArDRJ75ROYxD_9dXRVKldAFL2ovhiQshaTY-xzZk9qPJSudS1L5e_0REqxLrhstZSbMpM4tEELwg47JVocUx3cuq5_jC3bR&nonce=636572852975375794.MGMyMWNiNDEtM2FlMy00YzhhLWE4ODQtZmRiYWFjYTMzZjkyNmExOGZhYTMtZjBhMy00YmNkLThlM2EtN2ExZWFkNzY0ZmMw&redirect_uri=https%3a%2f%2fportal.office.com%2flanding&ui_locales=en-US&mkt=en-US&client-request-id=72c89cb4-209e-4121-ae5d-c3cd9c7fdae3&msafed=0","2018-03-22 08:45:44 IST","https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000006-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid+profile&state=OpenIdConnect.AuthenticationProperties%3dGu-pVjMrxhokQ3b6eqTx0tzVinXpFqpCbbt8ULCnVq_uUkLoOq0l6wSEzAjnJnqtF6o_ibERWbtpVHcjlPwHGDs4qMCx4TPfTArDRJ75ROYxD_9dXRVKldAFL2ovhiQshaTY-xzZk9qPJSudS1L5e_0REqxLrhstZSbMpM4tEELwg47JVocUx3cuq5_jC3bR&nonce=636572852975375794.MGMyMWNiNDEtM2FlMy00YzhhLWE4ODQtZmRiYWFjYTMzZjkyNmExOGZhYTMtZjBhMy00YmNkLThlM2EtN2ExZWFkNzY0ZmMw&redirect_uri=https%3a%2f%2fportal.office.com%2flanding&ui_locales=en-US&mkt=en-US&client-request-id=72c89cb4-209e-4121-ae5d-c3cd9c7fdae3&msafed=0","Sign in to your account","Google Chrome",microsoftonline.com,Default,LoneWolf.E01
History,"http://portal.office.com/","2018-03-22 08:45:44 IST","http://portal.office.com/","Sign in to your account","Google Chrome",office.com,Default,LoneWolf.E01
History,"https://portal.office.com/login?IdentityProvider=aad&ru=%2Fdefault.aspx","2018-03-22 08:45:44 IST","https://portal.office.com/login?IdentityProvider=aad&ru=%2Fdefault.aspx","Sign in to your account","Google Chrome",office.com,Default,LoneWolf.E01
History,"https://portal.office.com/","2018-03-22 08:45:44 IST","https://portal.office.com/","Sign in to your account","Google Chrome",office.com,Default,LoneWolf.E01
History,"https://mail.google.com/mail/","2018-04-01 01:37:10 IST","https://mail.google.com/mail/",Gmail,"Google Chrome",google.com,Default,LoneWolf.E01
History,"https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#","2018-03-27 15:29:02 IST","https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#",Gmail,"Google Chrome",google.com,Default,LoneWolf.E01
History,"https://mail.google.com/accounts/SetOSID?authuser=0&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F%3Fpli%3D1%26auth%3D7gXh2QkLwBHhvMUZ7zKVUnIHOcIHcIpEbGvKVQ0pMGR7i1uTCuMwOdAwyQeFCl40HCpiBA.&osidt=ALWU2cuNedomFmNjMOBIfVHf_Q9q0eNGzpZTEo8sI3zzTGpzoRniF13MGWcovZoLgrreP92oc7Rbs7FL3a2k3vg2O7wxmJZRXpiJe6B2ScAtW3K7LKw26Q-VOa1zbn6hWQ0Xus48opKx#","2018-03-27 15:29:02 IST","https://mail.google.com/accounts/SetOSID?authuser=0&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F%3Fpli%3D1%26auth%3D7gXh2QkLwBHhvMUZ7zKVUnIHOcIHcIpEbGvKVQ0pMGR7i1uTCuMwOdAwyQeFCl40HCpiBA.&osidt=ALWU2cuNedomFmNjMOBIfVHf_Q9q0eNGzpZTEo8sI3zzTGpzoRniF13MGWcovZoLgrreP92oc7Rbs7FL3a2k3vg2O7wxmJZRXpiJe6B2ScAtW3K7LKw26Q-VOa1zbn6hWQ0Xus48opKx#",Gmail,"Google Chrome",google.com,Default,LoneWolf.E01
History,"https://mail.google.com/mail/?pli=1&auth=7gXh2QkLwBHhvMUZ7zKVUnIHOcIHcIpEbGvKVQ0pMGR7i1uTCuMwOdAwyQeFCl40HCpiBA.#","2018-03-27 15:29:02 IST","https://mail.google.com/mail/?pli=1&auth=7gXh2QkLwBHhvMUZ7zKVUnIHOcIHcIpEbGvKVQ0pMGR7i1uTCuMwOdAwyQeFCl40HCpiBA.#",Gmail,"Google Chrome",google.com,Default,LoneWolf.E01
History,"https://mail.google.com/mail/?pli=1#","2018-03-27 15:29:02 IST","https://mail.google.com/mail/?pli=1#",Gmail,"Google Chrome",google.com,Default,LoneWolf.E01
